goals_scored,assists,total_points,minutes,goals_conceded,bonus,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,season,full_name,position
4,2,131,2880,38,2,13,0,4,17.4,51,2024-2025,Nikola Milenković,1
3,2,48,811,16,0,1,0,5,0.1,59,2024-2025,João Pedro Ferreira Silva,2
0,0,36,785,11,2,3,0,2,0.1,45,2024-2025,Felipe Rodrigues da Silva,1
0,0,80,2250,58,8,2,0,2,1.4,44,2024-2025,Aaron Ramsdale,0
2,0,52,1320,31,4,2,0,0,1.2,49,2024-2025,Cameron Archer,3
1,1,42,1354,34,3,1,0,5,0.3,44,2024-2025,Lesley Ugochukwu,2
0,0,7,303,12,0,0,1,0,0.0,48,2024-2025,Ryan Fraser,2
3,0,70,1903,54,7,1,0,1,0.1,49,2024-2025,Joe Aribo,2
2,3,45,1246,35,2,2,0,4,0.5,51,2024-2025,Adam Armstrong,3
2,0,51,2261,53,2,2,0,7,2.1,40,2024-2025,Jan Bednarek,1
0,0,2,329,13,0,0,0,0,0.4,39,2024-2025,Armel Bella-Kotchap,1
0,1,15,886,28,0,0,0,0,0.3,39,2024-2025,James Bree,1
1,0,47,2473,59,2,2,0,8,4.5,40,2024-2025,Taylor Harwood-Bellis,1
1,2,46,1037,30,2,2,0,0,0.0,50,2024-2025,Kamaldeen Sulemana,2
0,2,17,352,8,1,0,0,4,0.0,50,2024-2025,Adam Lallana,2
0,1,28,1276,31,0,1,0,2,0.1,43,2024-2025,Ryan Manning,1
0,0,12,450,13,0,0,0,0,0.1,42,2024-2025,Alex McCarthy,0
4,1,49,973,25,4,1,0,4,0.3,49,2024-2025,Paul Onuachu,3
1,0,22,604,21,0,0,0,1,0.0,50,2024-2025,Will Smallbone,2
0,0,17,1074,25,2,1,2,2,0.3,40,2024-2025,Jack Stephens,1
1,1,42,1458,44,0,2,0,4,0.1,42,2024-2025,Sugawara Yukinari,1
0,3,52,2738,73,3,2,0,5,0.3,42,2024-2025,Kyle Walker-Peters,1
0,0,13,622,16,2,1,0,2,1.1,40,2024-2025,Nathan Wood-Gordon,1
1,0,39,1699,41,0,3,0,10,0.0,47,2024-2025,Flynn Downes,2
0,0,13,446,10,0,0,0,1,0.1,48,2024-2025,Ben Brereton Díaz,2
2,2,61,1675,47,4,2,0,6,1.4,43,2024-2025,Tyler Dibling,2
2,3,81,2500,59,7,4,0,8,0.1,50,2024-2025,Mateus Gonçalo Espanha Fernandes,2
7,5,94,2051,37,6,4,0,0,4.8,73,2024-2025,Dominic Solanke-Mitchell,3
2,0,47,1514,23,1,3,0,7,0.1,49,2024-2025,Rodrigo Bentancur,2
0,2,42,1110,20,0,3,0,3,0.9,44,2024-2025,Lucas Bergvall,2
2,0,45,1200,22,4,3,0,7,0.2,48,2024-2025,Yves Bissouma,2
0,0,26,945,14,0,3,0,3,0.2,43,2024-2025,Ben Davies,1
0,0,24,1250,29,0,2,0,1,0.2,43,2024-2025,Radu Drăgușin,1
0,0,19,630,15,0,1,0,0,0.3,43,2024-2025,Fraser Forster,0
0,0,37,1345,29,0,2,0,0,0.2,46,2024-2025,Archie Gray,2
11,6,132,1988,29,13,2,0,5,2.5,62,2024-2025,Brennan Johnson,2
7,4,113,2233,38,9,6,0,3,2.3,62,2024-2025,Dejan Kulusevski,2
9,7,129,1754,29,15,6,0,6,4.2,74,2024-2025,James Maddison,2
2,6,99,2459,41,6,6,0,4,17.5,53,2024-2025,Pedro Porro,1
4,1,31,380,5,0,1,0,1,0.4,68,2024-2025,Richarlison de Andrade,3
1,1,49,1416,22,3,3,0,3,3.5,49,2024-2025,Cristian Romero,1
3,2,64,1579,33,4,2,0,6,0.2,47,2024-2025,Pape Matar Sarr,2
7,10,126,2001,33,12,4,0,1,4.4,97,2024-2025,Son Heung-min,2
1,2,47,1423,27,6,3,1,2,0.9,44,2024-2025,Djed Spence,1
0,1,45,1743,26,0,2,0,2,1.5,48,2024-2025,Destiny Udogie,1
0,2,31,949,15,2,2,0,4,2.4,45,2024-2025,Micky van de Ven,1
0,0,63,1890,27,2,4,0,1,1.9,48,2024-2025,Guglielmo Vicario,0
0,3,34,504,12,2,1,0,0,0.1,62,2024-2025,Timo Werner,2
0,0,18,510,10,0,1,0,0,0.0,53,2024-2025,Wilson Odobert,2
0,0,12,360,7,0,1,0,0,0.1,41,2024-2025,Antonín Kinsky,0
0,0,12,392,4,0,1,0,0,0.0,44,2024-2025,Kevin Danso,1
2,0,28,489,9,2,2,0,0,0.1,58,2024-2025,Mathys Tel,2
1,0,27,375,9,2,1,0,0,0.3,55,2024-2025,Evan Ferguson,3
2,3,92,2704,52,10,5,0,1,4.8,45,2024-2025,Aaron Wan-Bissaka,1
0,1,37,1632,29,0,3,1,6,0.1,50,2024-2025,Edson Álvarez Velázquez,2
1,4,42,834,18,3,4,0,1,0.8,52,2024-2025,Michail Antonio,3
0,0,54,1899,35,0,3,0,0,6.0,42,2024-2025,Alphonse Areola,0
9,8,145,2542,43,13,7,0,1,9.3,75,2024-2025,Jarrod Bowen,2
0,0,19,852,17,1,1,0,4,0.4,41,2024-2025,Vladimír Coufal,1
0,0,27,583,6,3,2,0,2,1.8,39,2024-2025,Aaron Cresswell,1
2,1,71,1926,39,4,5,0,5,0.6,44,2024-2025,Emerson Palmieri dos Santos,1
0,0,36,1070,20,2,2,0,2,10.9,40,2024-2025,Łukasz Fabiański,0
0,1,71,2898,55,5,5,0,4,1.3,43,2024-2025,Max Kilman,1
3,3,83,2242,40,4,6,1,1,2.4,62,2024-2025,Mohammed Kudus,2
4,1,76,2163,45,5,4,0,8,1.0,57,2024-2025,Lucas Tolentino Coelho de Lima,2
0,0,41,1846,35,4,2,1,3,0.1,43,2024-2025,Konstantinos Mavropanos,1
7,2,104,2157,38,13,6,0,8,1.4,48,2024-2025,Tomáš Souček,2
0,2,36,1151,15,0,4,1,2,0.5,61,2024-2025,James Ward-Prowse,2
1,1,33,776,20,2,2,0,2,0.3,55,2024-2025,Crysencio Summerville,2
0,0,29,1016,18,0,3,0,5,0.1,48,2024-2025,Guido Rodríguez,2
3,2,35,538,13,3,2,0,2,0.8,67,2024-2025,Niclas Füllkrug,3
0,0,43,1393,26,1,4,0,2,0.3,42,2024-2025,Jean-Clair Todibo,1
1,1,45,1336,24,2,2,0,5,0.0,50,2024-2025,Carlos Soler,2
0,0,27,588,8,2,2,0,1,0.2,40,2024-2025,Ollie Scarles,1
0,0,12,630,17,0,0,0,0,0.3,41,2024-2025,Sam Johnstone,0
4,6,109,2702,59,11,6,1,5,17.8,50,2024-2025,Rayan Aït-Nouri,1
2,6,80,1472,25,5,6,0,3,0.2,49,2024-2025,Jean-Ricner Bellegarde,2
14,5,158,2253,50,38,6,0,3,16.6,69,2024-2025,Matheus Santos Carneiro Da Cunha,3
0,1,17,969,25,1,1,0,2,0.1,42,2024-2025,Craig Dawson,1
2,1,64,1814,35,4,5,0,6,0.3,43,2024-2025,Matt Doherty,1
0,1,28,474,10,0,0,0,1,0.0,47,2024-2025,Tommy Doyle,2
2,4,55,756,19,2,3,0,1,0.1,53,2024-2025,Gonçalo Manuel Ganchinho Guedes,2
2,1,35,632,18,0,0,0,0,0.3,61,2024-2025,Hwang Hee-chan,2
3,1,79,2601,54,7,5,1,8,0.3,49,2024-2025,João Victor Gomes da Silva,2
0,0,74,2250,44,3,6,0,2,3.5,44,2024-2025,José Malheiro de Sá,0
1,3,47,1363,39,5,1,0,4,0.1,48,2024-2025,Mario Lemina,2
0,0,3,441,12,0,0,0,2,0.8,38,2024-2025,Yerson Mosquera,1
0,4,74,2491,43,0,7,0,7,0.9,45,2024-2025,Nélson Cabral Semedo,1
1,0,31,621,16,0,1,0,0,0.1,51,2024-2025,Rodrigo Martins Gomes,2
0,0,49,1665,34,2,5,0,2,0.1,43,2024-2025,Santiago Bueno,1
3,2,45,665,13,3,1,0,3,0.2,50,2024-2025,Pablo Sarabia,2
12,2,123,2389,48,15,6,0,4,5.8,54,2024-2025,Jørgen Strand Larsen,3
0,1,70,2163,37,8,7,0,5,0.4,43,2024-2025,Toti António Gomes,1
0,0,51,2087,40,1,6,0,7,0.0,50,2024-2025,André Trindade da Costa Neto,2
0,0,29,960,14,1,3,0,2,0.4,40,2024-2025,Emmanuel Agbadou,1
1,2,33,698,6,2,4,0,0,0.1,50,2024-2025,Marshall Munetsi,2
3,1,149,3042,26,8,16,0,4,28.3,54,2023-2024,Gabriel dos Santos Magalhães,1
13,10,180,2627,22,15,16,0,11,11.9,76,2023-2024,Kai Havertz,2
4,7,85,1470,11,10,11,0,6,2.6,77,2023-2024,Gabriel Fernando de Jesus,3
0,2,44,913,11,1,4,0,1,0.2,53,2023-2024,Jorge Luiz Frello Filho,2
1,3,67,942,8,1,6,0,1,0.6,40,2023-2024,Jakub Kiwior,1
6,5,118,2010,23,6,10,0,1,4.2,75,2023-2024,Gabriel Martinelli Silva,2
5,4,71,1065,10,5,6,0,3,3.1,50,2023-2024,Eddie Nketiah,3
8,11,186,3098,23,26,19,0,2,18.0,86,2023-2024,Martin Ødegaard,2
0,0,24,785,5,0,5,0,3,0.1,48,2023-2024,Thomas Partey,2
0,0,20,540,5,0,2,0,0,5.4,45,2023-2024,Aaron Ramsdale,0
16,12,226,2922,27,29,16,0,4,49.2,88,2023-2024,Bukayo Saka,2
2,1,164,3420,29,13,18,0,4,39.1,59,2023-2024,William Saliba,1
0,2,25,343,3,0,3,0,0,0.1,53,2023-2024,Emile Smith Rowe,2
2,1,70,1140,10,4,6,1,0,0.5,45,2023-2024,Takehiro Tomiyasu,1
12,2,138,1633,10,11,12,0,2,3.6,66,2023-2024,Leandro Trossard,2
4,5,182,2987,26,14,18,0,8,23.3,61,2023-2024,Benjamin White,1
1,2,104,1717,15,16,9,0,2,5.1,50,2023-2024,Oleksandr Zinchenko,1
0,0,135,2880,24,6,16,0,2,11.7,53,2023-2024,David Raya Martin,0
7,9,165,3225,28,17,17,0,5,6.2,55,2023-2024,Declan Rice,2
2,0,49,1024,20,5,3,0,2,1.1,49,2023-2024,Alexandre Moreno Lopera,1
10,11,148,2063,32,11,5,0,5,3.1,54,2023-2024,Leon Bailey,2
2,2,64,2138,36,4,3,0,8,9.9,45,2023-2024,Matty Cash,1
0,0,55,1809,36,1,6,0,4,0.5,44,2023-2024,Diego Carlos Santos Silva,1
1,4,85,2405,41,5,6,0,7,3.1,46,2023-2024,Lucas Digne,1
9,5,148,2994,57,25,6,0,12,4.8,54,2023-2024,Douglas Luiz Soares de Paulo,2
5,1,50,461,12,7,0,0,5,0.2,50,2023-2024,Jhon Durán,3
0,1,40,1653,22,1,7,1,7,0.1,50,2023-2024,Boubacar Kamara,2
1,1,91,3069,54,7,7,0,5,2.2,45,2023-2024,Ezri Konsa Ngoyo,1
0,0,115,3015,48,19,8,0,4,10.5,52,2023-2024,Emiliano Martínez Romero,0
6,5,119,3000,54,9,7,1,9,0.9,53,2023-2024,John McGinn,2
0,0,17,405,13,3,0,0,0,0.6,39,2023-2024,Robin Olsen,0
1,1,29,848,12,0,0,0,2,0.1,59,2023-2024,Jacob Ramsey,2
2,6,77,1613,27,2,4,0,3,0.4,56,2023-2024,Youri Tielemans,2
19,18,228,3222,56,29,7,0,4,35.9,89,2023-2024,Ollie Watkins,3
2,0,85,2462,37,4,6,0,1,2.8,46,2023-2024,Pau Torres,1
6,11,142,2168,40,10,8,0,1,5.8,63,2023-2024,Moussa Diaby,2
2,0,34,824,13,0,2,0,7,0.0,54,2023-2024,Nicolò Zaniolo,2
0,1,24,1153,27,0,2,0,3,0.2,45,2023-2024,Clément Lenglet,1
3,1,35,636,13,0,2,0,3,0.0,50,2023-2024,Morgan Rogers,2
2,3,60,1385,36,3,2,1,3,0.3,51,2023-2024,Philip Billing,2
0,5,90,2908,56,5,8,0,6,0.1,50,2023-2024,Ryan Christie,2
0,3,77,2787,51,5,8,1,5,0.1,48,2023-2024,Lewis Cook,2
0,1,48,1553,32,5,4,0,2,0.1,45,2023-2024,Lloyd Kelly,1
7,1,100,1910,23,2,11,0,5,0.7,46,2023-2024,Justin Kluivert,2
0,1,16,613,16,0,1,0,2,0.1,43,2023-2024,Chris Mepham,1
0,0,110,2880,55,14,7,0,5,4.2,46,2023-2024,Norberto Murara Neto,0
1,2,56,1214,24,3,5,0,3,0.0,47,2023-2024,Dango Ouattara,2
0,0,13,380,12,0,0,0,0,0.0,48,2023-2024,Joe Rothwell,2
8,4,107,2099,33,14,8,0,6,2.0,45,2023-2024,Antoine Semenyo,3
4,5,102,2239,44,13,6,0,13,2.4,44,2023-2024,Marcos Senesi,1
0,3,80,2148,33,4,8,0,6,0.5,44,2023-2024,Adam Smith,1
19,3,175,3325,61,20,10,0,3,17.8,69,2023-2024,Dominic Solanke,3
3,4,89,2118,38,5,8,0,3,0.3,50,2023-2024,Marcus Tavernier,2
0,0,19,360,5,2,2,0,0,0.3,40,2023-2024,Mark Travers,0
1,0,84,3330,67,3,8,0,5,1.9,44,2023-2024,Illia Zabarnyi,1
0,2,59,1966,37,1,6,1,4,0.3,44,2023-2024,Milos Kerkez,1
0,1,28,1233,35,0,2,0,1,0.1,44,2023-2024,Max Aarons,1
1,1,41,1003,25,3,3,0,3,0.0,49,2023-2024,Alex Scott,2
2,2,43,685,18,2,1,0,0,0.0,55,2023-2024,Luis Sinisterra,2
2,4,40,317,9,3,1,0,1,0.0,50,2023-2024,Enes Ünal,3
2,1,68,1826,33,3,5,0,5,0.7,44,2023-2024,Kristoffer Ajer,1
1,1,84,2649,51,8,7,0,3,0.8,45,2023-2024,Nathan Collins,1
0,4,45,829,9,0,5,0,2,0.0,48,2023-2024,Mikkel Damsgaard,2
0,1,119,3285,63,12,7,0,3,4.5,47,2023-2024,Mark Flekken,0
0,1,13,401,5,0,1,0,1,0.8,42,2023-2024,Rico Henry,1
0,0,17,713,12,0,2,0,5,0.1,43,2023-2024,Aaron Hickey,1
1,4,93,3054,52,1,9,0,8,0.1,52,2023-2024,Vitaly Janelt,2
3,4,98,2201,45,10,9,0,5,0.7,52,2023-2024,Mathias Jensen,2
3,2,73,1428,29,1,6,0,0,0.1,47,2023-2024,Keane Lewis-Potter,2
9,7,127,1957,31,12,5,0,2,6.7,68,2023-2024,Bryan Mbeumo,2
2,1,39,1272,28,3,1,1,1,1.1,47,2023-2024,Ben Mee,1
2,1,74,2504,51,3,6,0,8,0.1,52,2023-2024,Christian Nørgaard,2
1,2,39,1147,27,0,1,0,8,0.0,49,2023-2024,Frank Onyeka,2
2,0,77,2521,46,5,5,0,1,1.4,45,2023-2024,Ethan Pinnock,1
1,2,75,1975,40,3,5,0,1,0.4,44,2023-2024,Mads Roerslev Rasmussen,1
2,2,33,327,5,2,1,0,0,0.1,52,2023-2024,Kevin Schade,2
4,3,57,1449,30,4,3,0,5,3.7,77,2023-2024,Ivan Toney,3
12,4,131,2488,40,15,11,0,7,5.1,57,2023-2024,Yoane Wissa,3
0,0,33,670,9,0,4,0,2,0.7,42,2023-2024,Yegor Yarmoliuk,2
1,0,29,1086,24,3,2,0,4,0.3,43,2023-2024,Mathias Jorgensen,1
6,3,76,1417,37,6,4,0,8,0.9,49,2023-2024,Neal Maupay,3
0,6,74,1524,30,14,5,1,7,3.0,45,2023-2024,Sergio Reguilón,1
1,0,26,728,20,0,0,0,5,0.0,45,2023-2024,Saman Ghoddos,2
6,1,97,2220,38,8,4,0,3,0.6,50,2023-2024,Simon Adingra,2
3,1,57,1356,19,1,6,0,7,0.1,47,2023-2024,Facundo Buonanotte,2
0,1,14,449,6,0,1,1,1,0.1,48,2023-2024,Mahmoud Dahoud,2
3,1,89,2869,53,11,5,1,6,5.3,52,2023-2024,Lewis Dunk,1
0,2,20,468,12,0,0,0,2,0.4,50,2023-2024,Julio Enciso,2
2,3,57,1242,26,7,3,0,4,14.5,47,2023-2024,Pervis Estupiñán,1
6,1,69,1356,28,5,2,0,1,3.5,57,2023-2024,Evan Ferguson,3
0,3,61,2116,37,4,6,1,8,0.2,48,2023-2024,Billy Gilmour,2
4,11,153,3112,50,29,7,0,6,4.1,61,2023-2024,Pascal Groß,2
9,3,104,2037,38,12,5,0,2,6.1,52,2023-2024,João Pedro Junqueira de Jesus,3
0,1,30,839,13,0,2,0,2,0.0,49,2023-2024,Adam Lallana,2
0,3,31,908,20,0,1,0,3,3.6,39,2023-2024,Tariq Lamptey,1
3,1,39,555,11,6,2,0,1,2.0,61,2023-2024,Solly March,2
0,2,28,770,12,0,4,0,3,0.1,48,2023-2024,James Milner,2
3,7,74,1485,27,7,1,0,4,11.8,64,2023-2024,Kaoru Mitoma,2
0,0,21,608,13,0,1,0,2,0.1,44,2023-2024,Jakub Moder,2
0,0,42,1530,34,5,2,0,0,1.7,40,2023-2024,Jason Steele,0
0,0,61,2368,38,3,5,0,4,2.1,40,2023-2024,Jan Paul van Hecke,1
1,1,49,1579,32,0,3,0,4,0.6,43,2023-2024,Joël Veltman,1
0,0,68,1890,28,7,4,0,3,1.2,44,2023-2024,Bart Verbruggen,0
0,0,26,1142,22,2,2,0,2,0.3,42,2023-2024,Adam Webster,1
5,4,79,1687,28,5,8,0,4,1.0,57,2023-2024,Danny Welbeck,3
0,0,37,1631,26,1,2,0,4,0.2,43,2023-2024,Igor Julio dos Santos de Paulo,1
3,0,42,866,17,5,2,0,1,0.0,45,2023-2024,Jack Hinshelwood,2
0,0,34,1314,28,0,2,0,7,0.0,45,2023-2024,Carlos Baleba,2
2,1,33,509,12,1,1,0,2,0.4,64,2023-2024,Anssumane Fati Vieira,2
0,0,5,307,9,0,0,0,1,0.0,40,2023-2024,Valentín Barco,1
1,0,19,1055,26,0,0,0,1,1.2,38,2023-2024,Ameen Al-Dakhil,1
0,1,30,1234,23,4,2,0,6,0.8,39,2023-2024,Jordan Beyer,1
4,2,78,2248,56,2,2,1,4,0.2,47,2023-2024,Josh Brownhill,2
2,4,65,2055,48,5,0,0,9,0.1,50,2023-2024,Josh Cullen,2
0,0,15,436,8,3,1,0,2,0.2,39,2023-2024,Hjalmar Ekdal,1
5,3,75,1898,43,4,2,1,0,0.4,47,2023-2024,Lyle Foster,3
1,3,48,1185,25,0,2,0,2,0.0,48,2023-2024,Jóhann Berg Gudmundsson,2
0,0,47,900,16,12,0,0,0,0.6,43,2023-2024,Arijanet Muric,0
3,4,69,2892,71,2,2,1,5,0.3,44,2023-2024,Dara O'Shea,1
0,1,12,817,23,0,0,1,3,0.1,43,2023-2024,Connor Roberts,1
2,1,41,811,18,3,1,0,0,0.2,53,2023-2024,Jay Rodriguez,3
1,1,47,2329,46,1,2,0,8,2.7,39,2023-2024,Charlie Taylor,1
0,3,60,2311,44,2,2,0,1,0.2,44,2023-2024,Victor da Silva,1
4,1,50,876,18,8,1,0,1,0.2,50,2023-2024,David Datro Fofana,3
1,2,74,3002,70,3,2,1,8,0.1,46,2023-2024,Sander Berge,2
5,1,85,1953,41,11,5,0,2,0.2,51,2023-2024,Zeki Amdouni,3
0,0,70,2520,62,5,2,0,2,0.9,44,2023-2024,James Trafford,0
1,2,40,972,23,0,3,0,0,0.0,48,2023-2024,Luca Koleosho,2
6,0,82,1235,23,7,3,0,1,0.1,48,2023-2024,Jacob Bruun Larsen,2
3,4,82,2095,48,3,2,0,3,0.1,50,2023-2024,Wilson Odobert,2
0,0,7,584,25,0,0,0,2,0.1,40,2023-2024,Hannes Delcroix,1
0,0,18,522,17,0,0,0,1,0.0,50,2023-2024,Aaron Ramsey,2
0,0,20,410,10,0,0,0,0,0.0,52,2023-2024,Mike Trésor,2
1,2,25,1235,32,3,0,1,3,0.2,40,2023-2024,Lorenz Assignon,1
0,0,15,1310,28,0,0,0,6,0.0,40,2023-2024,Maxime Esteve,1
1,3,84,2865,50,6,7,0,11,1.2,45,2023-2024,Moisés Caicedo Corozo,2
0,0,59,1433,25,7,3,0,2,2.2,45,2023-2024,Robert Sánchez,0
0,1,35,1337,31,4,3,0,3,0.3,44,2023-2024,Benoît Badiashile,1
1,0,39,949,14,4,3,0,1,2.0,43,2023-2024,Trevoh Chalobah,1
0,2,24,752,14,2,1,0,5,4.7,54,2023-2024,Ben Chilwell,1
1,1,65,1794,26,4,5,0,2,2.1,46,2023-2024,Levi Colwill,1
0,3,44,1783,33,3,4,0,10,3.7,49,2023-2024,Marc Cucurella Saseta,1
3,3,77,2208,47,4,5,0,7,1.9,48,2023-2024,Enzo Fernández,2
5,8,129,3129,56,10,8,1,7,1.7,54,2023-2024,Conor Gallagher,2
0,6,74,1746,28,10,5,1,7,8.2,43,2023-2024,Malo Gusto,1
0,2,11,416,13,0,0,2,0,2.7,53,2023-2024,Reece James,1
5,3,76,1044,19,7,4,0,2,1.2,53,2023-2024,Noni Madueke,2
5,5,94,1564,28,5,7,0,5,0.9,63,2023-2024,Mykhailo Mudryk,2
14,6,142,2801,48,12,9,0,10,17.9,70,2023-2024,Nicolas Jackson,3
3,0,29,437,12,4,0,0,0,1.0,72,2023-2024,Christopher Nkunku,3
8,8,123,1972,38,8,5,0,7,4.8,68,2023-2024,Raheem Sterling,2
3,1,98,2525,45,12,7,0,4,4.5,50,2023-2024,Thiago Emiliano da Silva,1
22,13,244,2617,46,32,7,0,7,51.3,63,2023-2024,Cole Palmer,2
2,0,71,2579,50,6,5,0,6,3.4,49,2023-2024,Axel Disasi,1
0,0,71,1986,38,5,5,0,2,8.4,47,2023-2024,Đorđe Petrović,0
0,0,16,332,14,0,0,1,2,0.4,43,2023-2024,Naouirou Ahamada,2
2,3,121,3416,58,12,10,0,7,14.1,47,2023-2024,Joachim Andersen,1
4,7,109,2540,39,3,11,1,7,0.3,53,2023-2024,Jordan Ayew,2
0,1,52,1335,16,0,5,0,0,0.2,43,2023-2024,Nathaniel Clyne,1
0,0,21,920,12,0,3,0,2,0.0,48,2023-2024,Cheick Doucouré,2
7,0,79,1545,24,9,6,0,4,1.3,53,2023-2024,Odsonne Edouard,3
11,5,136,2054,28,11,8,0,3,5.4,60,2023-2024,Eberechi Eze,2
0,1,66,2020,32,6,6,0,2,1.3,42,2023-2024,Marc Guéhi,1
0,2,61,1886,38,2,8,0,6,0.0,49,2023-2024,Will Hughes,2
0,0,68,1796,27,7,6,0,1,1.3,43,2023-2024,Sam Johnstone,0
1,1,64,2399,46,4,5,0,8,0.1,47,2023-2024,Jefferson Lerma Solís,2
16,7,165,2274,44,22,8,0,3,7.3,51,2023-2024,Jean-Philippe Mateta,3
2,3,119,3204,55,10,10,0,6,4.7,45,2023-2024,Tyrick Mitchell,1
10,6,125,1272,19,21,3,0,0,5.3,57,2023-2024,Michael Olise,2
1,1,62,2091,38,4,4,0,3,1.5,39,2023-2024,Chris Richards,1
2,2,66,1340,25,4,4,0,1,0.1,48,2023-2024,Jeffrey Schlupp,2
0,1,54,1978,34,0,5,0,4,0.2,45,2023-2024,Joel Ward,1
0,0,48,1620,30,2,4,0,2,1.7,44,2023-2024,Dean Henderson,0
0,4,56,1440,22,3,5,0,4,0.6,45,2023-2024,Daniel Muñoz,1
0,3,50,1296,16,4,7,0,2,0.0,50,2023-2024,Adam Wharton,2
1,0,20,505,7,0,3,0,4,0.1,44,2023-2024,André Tavares Gomes,2
3,1,124,3116,44,10,12,0,8,10.8,45,2023-2024,Jarrad Branthwaite,1
7,3,101,2166,27,9,13,0,2,1.0,58,2023-2024,Dominic Calvert-Lewin,3
0,0,30,661,10,3,4,0,0,0.1,44,2023-2024,Seamus Coleman,1
7,3,116,2632,36,7,12,0,7,0.5,55,2023-2024,Abdoulaye Doucouré,2
1,2,87,3001,47,3,11,0,7,0.1,49,2023-2024,James Garner,2
0,0,37,1120,13,0,4,0,2,0.2,43,2023-2024,Ben Godfrey,1
4,0,73,1885,25,10,7,0,8,0.1,48,2023-2024,Idrissa Gueye,2
1,0,18,437,13,2,1,0,2,0.2,42,2023-2024,Michael Keane,1
3,8,124,2891,39,8,12,0,2,0.3,54,2023-2024,Dwight McNeil,2
2,1,101,2469,37,9,9,0,1,2.6,45,2023-2024,Vitalii Mykolenko,1
2,0,66,2085,38,5,5,0,5,0.2,47,2023-2024,Amadou Onana,2
0,2,34,1000,21,3,2,0,4,0.1,43,2023-2024,Nathan Patterson,1
0,0,153,3420,51,22,13,0,5,16.3,48,2023-2024,Jordan Pickford,0
1,1,117,3420,51,10,13,0,11,5.4,46,2023-2024,James Tarkowski,1
0,1,76,2277,34,3,9,1,5,0.4,44,2023-2024,Ashley Young,1
1,0,26,587,10,0,2,0,0,0.1,52,2023-2024,Arnaut Danjuma Groeneveld,2
3,3,92,2212,26,5,11,0,1,0.1,55,2023-2024,Jack Harrison,2
3,0,50,943,20,3,2,0,2,0.1,57,2023-2024,Norberto Bercique Gomes Betuncal,3
1,2,35,529,9,0,3,0,0,0.2,49,2023-2024,Armando Broja,3
5,2,102,2331,41,9,7,0,2,0.4,53,2023-2024,Alex Iwobi,2
3,9,127,2611,40,7,14,0,6,0.9,53,2023-2024,Andreas Hoelgebaum Pereira,2
1,6,70,1472,27,2,4,0,3,0.0,49,2023-2024,Tom Cairney,2
6,3,92,1410,29,7,3,0,4,0.1,52,2023-2024,Bobby De Cordova-Reid,2
0,0,43,1423,26,3,5,1,2,0.4,44,2023-2024,Issa Diop,1
0,0,133,3420,61,15,10,0,3,14.6,48,2023-2024,Bernd Leno,0
1,0,43,1113,20,0,5,0,3,0.3,43,2023-2024,Saša Lukić,2
9,2,97,1589,27,12,6,0,1,4.4,43,2023-2024,Rodrigo Muniz Carvalho,3
4,1,91,2698,46,8,9,0,13,0.3,50,2023-2024,João Palhinha Gonçalves,2
1,0,40,1503,31,4,3,1,2,0.6,44,2023-2024,Tim Ream,1
0,2,47,1317,23,0,6,0,6,0.3,43,2023-2024,Harrison Reed,2
0,6,104,3266,60,8,9,0,6,4.0,45,2023-2024,Antonee Robinson,1
1,0,27,863,21,0,2,0,2,0.3,44,2023-2024,Kenny Tete,1
2,0,66,1616,25,2,6,0,2,0.2,43,2023-2024,Tosin Adarabioyo,1
2,0,22,306,5,2,0,0,2,0.9,45,2023-2024,Carlos Vinícius Alves Morais,3
4,7,94,1603,30,5,5,0,6,0.2,53,2023-2024,Harry Wilson,2
7,0,72,1390,29,13,4,1,3,0.6,50,2023-2024,Raúl Jiménez,3
4,3,94,2048,28,6,9,0,1,0.4,53,2023-2024,Willian Borges da Silva,2
1,0,66,2299,42,4,6,1,4,0.4,44,2023-2024,Calvin Bassey,1
2,3,36,363,13,1,0,0,2,0.0,49,2023-2024,Adama Traoré,2
1,3,105,2630,40,7,9,0,3,1.6,45,2023-2024,Timothy Castagne,1
3,5,122,2153,28,19,8,0,6,10.3,84,2023-2024,Trent Alexander-Arnold,1
0,0,107,2520,30,9,8,0,1,9.7,57,2023-2024,Alisson Ramses Becker,0
11,11,132,2033,25,9,6,0,9,11.7,75,2023-2024,Darwin Núñez Ribeiro,3
10,7,110,1141,11,7,5,1,1,1.7,79,2023-2024,Diogo Teixeira da Silva,2
3,9,96,1330,13,8,4,0,2,0.4,48,2023-2024,Harvey Elliott,2
8,5,106,1633,20,12,5,0,1,3.1,71,2023-2024,Cody Gakpo,3
0,2,76,1772,19,2,7,0,5,1.3,45,2023-2024,Joe Gomez,1
1,1,40,1156,19,2,2,1,3,0.1,49,2023-2024,Curtis Jones,2
0,0,34,900,11,3,2,0,0,3.9,36,2023-2024,Caoimhin Kelleher,0
0,0,56,1570,19,2,6,1,3,2.0,49,2023-2024,Ibrahima Konaté,1
8,7,142,2625,33,9,7,0,3,10.0,76,2023-2024,Luis Díaz,2
5,5,109,2600,34,12,6,1,7,3.9,59,2023-2024,Alexis Mac Allister,2
0,0,21,779,9,0,2,0,2,0.3,48,2023-2024,Joel Matip,1
3,2,76,1689,22,8,3,0,2,4.2,65,2023-2024,Andrew Robertson,1
